,Money Missed,Open Seats,Rating Runtime Genre,Taken Seats,Time Taken,percent full,price,time,title
0,,,"R, 1 hr 43 min
Action/Adventure, Comedy, Suspense/Thriller",,18:46:28,,,,THE GENTLEMEN1
1,,,"R, 1 hr 43 min
Action/Adventure, Comedy, Suspense/Thriller",,18:46:28,,,,THE GENTLEMEN2
2,,,"R, 1 hr 43 min
Action/Adventure, Comedy, Suspense/Thriller",,18:46:28,,,,THE GENTLEMEN3
3,1568.0,128.0,"R, 1 hr 43 min
Action/Adventure, Comedy, Suspense/Thriller",59.0,18:46:28,0.3155080213903743,$12.25,7:30p,THE GENTLEMEN4
4,2266.25,185.0,"R, 1 hr 43 min
Action/Adventure, Comedy, Suspense/Thriller",2.0,18:46:37,0.0106951871657754,$12.25,10:15p,THE GENTLEMEN5
5,,,"PG-13, 1 hr 35 min
Drama, Horror, Suspense/Thriller",,18:46:49,,,,THE TURNING (2020)1
6,,,"PG-13, 1 hr 35 min
Drama, Horror, Suspense/Thriller",,18:46:49,,,,THE TURNING (2020)2
7,,,"PG-13, 1 hr 35 min
Drama, Horror, Suspense/Thriller",,18:46:49,,,,THE TURNING (2020)3
8,1555.75,127.0,"PG-13, 1 hr 35 min
Drama, Horror, Suspense/Thriller",31.0,18:46:49,0.1962025316455696,$12.25,7:45p,THE TURNING (2020)4
9,1764.0,144.0,"PG-13, 1 hr 35 min
Drama, Horror, Suspense/Thriller",14.0,18:46:59,0.08860759493670886,$12.25,10:10p,THE TURNING (2020)5
10,,,"R, 2 hr 4 min
Action/Adventure, Comedy",,18:47:09,,,,BAD BOYS FOR LIFE1
11,,,"R, 2 hr 4 min
Action/Adventure, Comedy",,18:47:09,,,,BAD BOYS FOR LIFE2
12,,,"R, 2 hr 4 min
Action/Adventure, Comedy",,18:47:09,,,,BAD BOYS FOR LIFE3
13,,,"R, 2 hr 4 min
Action/Adventure, Comedy",,18:47:09,,,,BAD BOYS FOR LIFE4
14,1212.75,99.0,"R, 2 hr 4 min
Action/Adventure, Comedy",161.0,18:47:09,0.6192307692307693,$12.25,7:00p,BAD BOYS FOR LIFE5
15,2670.5,218.0,"R, 2 hr 4 min
Action/Adventure, Comedy",42.0,18:47:20,0.16153846153846155,$12.25,10:00p,BAD BOYS FOR LIFE6
16,,,"PG, 1 hr 40 min
Action/Adventure, Comedy, Family",,18:47:31,,,,DOLITTLE (2020)1
17,,,"PG, 1 hr 40 min
Action/Adventure, Comedy, Family",,18:47:31,,,,DOLITTLE (2020)2
18,1690.5,138.0,"PG, 1 hr 40 min
Action/Adventure, Comedy, Family",20.0,18:47:31,0.12658227848101267,$12.25,7:35p,DOLITTLE (2020)3
19,1911.0,156.0,"PG, 1 hr 40 min
Action/Adventure, Comedy, Family",2.0,18:47:43,0.012658227848101266,$12.25,10:15p,DOLITTLE (2020)4
20,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,18:47:53,,,,1917 (2019)1
21,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,18:47:53,,,,1917 (2019)2
22,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,18:47:53,,,,1917 (2019)3
23,2364.25,193.0,"R, 1 hr 59 min
Action/Adventure, Drama, War",18.0,18:47:53,0.08530805687203792,$12.25,9:10p,1917 (2019)4
24,,,"PG-13, 2 hr 16 min
Drama",,18:48:03,,,,JUST MERCY1
25,1666.0,136.0,"PG-13, 2 hr 16 min
Drama",22.0,18:48:03,0.13924050632911392,$12.25,9:15p,JUST MERCY2
