,Earnings,IMDB rating,MetaCritic Score,Popularity,Rating Runtime Genre,Release Date,Star Power,Time Taken,amenities,peopleInolved,percent full,price,time,title
0,"Gross USA: $2,721,279",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000,21:12:32,," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",,,,1917 (2019)1
1,"Gross USA: $2,721,279",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000,21:12:32,," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",,,,1917 (2019)2
2,"Gross USA: $2,721,279",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000,21:12:32,," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",,,,1917 (2019)3
3,"Gross USA: $2,721,279",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000,21:12:32,," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",,,,1917 (2019)4
4,"Gross USA: $2,721,279",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000,21:12:32," Dolby Cinema @ AMC, Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.0,$26.49,10:45p,1917 (2019)5
5,"Gross USA: $2,721,279",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000,21:12:43,," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",,,,1917 (2019)6
6,"Gross USA: $2,721,279",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000,21:12:43,," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",,,,1917 (2019)7
7,"Gross USA: $2,721,279",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000,21:12:43,," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",,,,1917 (2019)8
8,"Gross USA: $2,721,279",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000,21:12:43,," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",,,,1917 (2019)9
9,"Gross USA: $2,721,279",8.6,79,9,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »,21000,21:12:43," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.5933147632311978,$16.49,9:15p,1917 (2019)10
