	IMDB rating	Rating Runtime Genre	Release Date	amenities	earnings	peopleInolved	price	time	title
0	8.1	"PG, 2 hr 15 min
Drama, Romance"	Release Date: 25 December 2019 (USA) See more »		Gross USA: $6,425,000	 Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, 			LITTLE WOMEN (2019)1
1	8.1	"PG, 2 hr 15 min
Drama, Romance"	Release Date: 25 December 2019 (USA) See more »	 Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $6,425,000	 Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, 	$10.65	1:00p	LITTLE WOMEN (2019)2
2	8.1	"PG, 2 hr 15 min
Drama, Romance"	Release Date: 25 December 2019 (USA) See more »	 Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $6,425,000	 Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, 	$12.25	4:00p	LITTLE WOMEN (2019)3
3	8.1	"PG, 2 hr 15 min
Drama, Romance"	Release Date: 25 December 2019 (USA) See more »	 Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $6,425,000	 Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, 	$12.25	7:00p	LITTLE WOMEN (2019)4
4	8.1	"PG, 2 hr 15 min
Drama, Romance"	Release Date: 25 December 2019 (USA) See more »	 Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $6,425,000	 Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, 	$12.25	10:10p	LITTLE WOMEN (2019)5
5	6.5	"PG, 1 hr 42 min
Action/Adventure, Animated, Comedy, Family"	Release Date: 25 December 2019 (USA) See more »	 Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $4,760,910	 Directors:: Nick Bruno, Troy Quane, Writers:: Brad Copeland, Lloyd Taylor, Stars:: Rachel Brosnahan, Jarrett Bruno, Claire Crosby, See full cast & crew, 	$6.17	11:45a	SPIES IN DISGUISE1
6	6.5	"PG, 1 hr 42 min
Action/Adventure, Animated, Comedy, Family"	Release Date: 25 December 2019 (USA) See more »	 Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $4,760,910	 Directors:: Nick Bruno, Troy Quane, Writers:: Brad Copeland, Lloyd Taylor, Stars:: Rachel Brosnahan, Jarrett Bruno, Claire Crosby, See full cast & crew, 	$10.65	2:15p	SPIES IN DISGUISE2
7	6.5	"PG, 1 hr 42 min
Action/Adventure, Animated, Comedy, Family"	Release Date: 25 December 2019 (USA) See more »	 Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $4,760,910	 Directors:: Nick Bruno, Troy Quane, Writers:: Brad Copeland, Lloyd Taylor, Stars:: Rachel Brosnahan, Jarrett Bruno, Claire Crosby, See full cast & crew, 	$12.25	7:45p	SPIES IN DISGUISE3
8	6.5	"PG, 1 hr 42 min
Action/Adventure, Animated, Comedy, Family"	Release Date: 25 December 2019 (USA) See more »	 RealD 3D, Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $4,760,910	 Directors:: Nick Bruno, Troy Quane, Writers:: Brad Copeland, Lloyd Taylor, Stars:: Rachel Brosnahan, Jarrett Bruno, Claire Crosby, See full cast & crew, 	$15.98	5:00p	SPIES IN DISGUISE4
9	6.5	"PG, 1 hr 42 min
Action/Adventure, Animated, Comedy, Family"	Release Date: 25 December 2019 (USA) See more »	 RealD 3D, Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $4,760,910	 Directors:: Nick Bruno, Troy Quane, Writers:: Brad Copeland, Lloyd Taylor, Stars:: Rachel Brosnahan, Jarrett Bruno, Claire Crosby, See full cast & crew, 	$15.98	10:30p	SPIES IN DISGUISE5
10	2.6	"PG, 1 hr 50 min
Drama, Family"	Release Date: 20 December 2019 (USA) See more »		Gross USA: $11,185,980	 Director:: Tom Hooper, Writers:: T.S. Eliot, Lee Hall, 2 more credits, Stars:: Francesca Hayward, Taylor Swift, Idris Elba, See full cast & crew, 			CATS (2019)1
11	2.6	"PG, 1 hr 50 min
Drama, Family"	Release Date: 20 December 2019 (USA) See more »	 Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $11,185,980	 Director:: Tom Hooper, Writers:: T.S. Eliot, Lee Hall, 2 more credits, Stars:: Francesca Hayward, Taylor Swift, Idris Elba, See full cast & crew, 	$10.65	12:30p	CATS (2019)2
12	2.6	"PG, 1 hr 50 min
Drama, Family"	Release Date: 20 December 2019 (USA) See more »	 Reserved seating, Closed caption, Accessibility devices available, 	Gross USA: $11,185,980	 Director:: Tom Hooper, Writers:: T.S. Eliot, Lee Hall, 2 more credits, Stars:: Francesca Hayward, Taylor Swift, Idris Elba, See full cast & crew, 	$10.65	3:30p	CATS (2019)3
