,Earnings,IMDB rating,Rating Runtime Genre,Release Date,amenities,peopleInolved,percent full,price,time,title
0,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »,," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",,,,THE GRUDGE (2020)1
1,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",0.0,$10.65,12:15p,THE GRUDGE (2020)2
2,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",0.02531645569620253,$10.65,2:45p,THE GRUDGE (2020)3
3,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",0.0,$12.25,5:15p,THE GRUDGE (2020)4
4,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",0.0,$12.25,7:45p,THE GRUDGE (2020)5
5,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",0.0,$12.25,10:15p,THE GRUDGE (2020)6
6,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.12025316455696203,$6.17,10:00a,LITTLE WOMEN (2019)1
7,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.25316455696202533,$10.65,1:00p,LITTLE WOMEN (2019)2
8,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.0,$12.25,4:10p,LITTLE WOMEN (2019)3
9,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.03164556962025317,$12.25,7:10p,LITTLE WOMEN (2019)4
