,Earnings,IMDB rating,Rating Runtime Genre,Release Date,amenities,peopleInolved,percent full,price,time,title
0,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.8140703517587939,$8.29,10:45a,1917 (2019)1
1,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.34674922600619196,$16.49,12:15p,1917 (2019)2
2,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.5672514619883041,$16.49,1:45p,1917 (2019)3
3,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.5634674922600619,$16.49,3:15p,1917 (2019)4
4,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.4064327485380117,$16.49,4:45p,1917 (2019)5
5,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.22910216718266255,$16.49,6:15p,1917 (2019)6
6,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.14912280701754385,$16.49,7:45p,1917 (2019)7
7,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.04024767801857585,$16.49,9:15p,1917 (2019)8
8,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.0,$16.49,10:45p,1917 (2019)9
9,"Gross USA: $346,000",6.1,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »,," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",,,,JUST MERCY1
10,"Gross USA: $346,000",6.1,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",0.24277456647398843,$16.49,12:45p,JUST MERCY2
11,"Gross USA: $346,000",6.1,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",0.2894736842105263,$16.49,2:45p,JUST MERCY3
12,"Gross USA: $346,000",6.1,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",0.10526315789473684,$16.49,5:45p,JUST MERCY4
13,"Gross USA: $346,000",6.1,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",0.09826589595375723,$16.49,6:45p,JUST MERCY5
14,"Gross USA: $346,000",6.1,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",0.0,$16.49,8:45p,JUST MERCY6
15,"Gross USA: $346,000",6.1,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",0.005780346820809248,$16.49,9:45p,JUST MERCY7
