,Earnings,IMDB rating,Rating Runtime Genre,Release Date,amenities,peopleInolved,percent full,price,time,title
0,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, AMC Prime, Recliner Seats, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.050724637681159424,$12.49,9:30a,1917 (2019)1
1,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, AMC Prime, Recliner Seats, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.09420289855072464,$19.49,12:20p,1917 (2019)2
2,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, AMC Prime, Recliner Seats, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.3188405797101449,$20.99,6:45p,1917 (2019)3
3,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, AMC Prime, Recliner Seats, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.07971014492753623,$20.99,9:40p,1917 (2019)4
4,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.006688963210702341,$8.49,10:30a,1917 (2019)5
5,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.0,$15.49,1:30p,1917 (2019)6
6,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.020066889632107024,$16.99,4:30p,1917 (2019)7
7,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.033444816053511704,$16.99,7:45p,1917 (2019)8
8,"Gross USA: $1,879,867",8.6,"R, 1 hr 59 min
Action/Adventure, Drama, War",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Sam Mendes, Writers:: Sam Mendes, Krysty Wilson-Cairns, Stars:: Dean-Charles Chapman, George MacKay, Daniel Mays, See full cast & crew, ",0.0,$16.99,10:40p,1917 (2019)9
9,"Gross USA: $346,000",6.1,"PG-13, 2 hr 16 min
Drama",Release Date: 10 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, "," Director:: Destin Daniel Cretton, Writers:: Destin Daniel Cretton, Andrew Lanham, 1 more credit, Stars:: Brie Larson, Michael B. Jordan, Jamie Foxx, See full cast & crew, ",0.006666666666666667,$8.49,9:00a,JUST MERCY1
