,Earnings,IMDB rating,Rating Runtime Genre,Release Date,amenities,peopleInolved,percent full,price,time,title
0,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, Dine-In Delivery to Seat, "," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",0.0,$13.65,12:15p,THE GRUDGE (2020)1
1,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, Dine-In Delivery to Seat, "," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",0.017241379310344827,$13.65,2:45p,THE GRUDGE (2020)2
2,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, Dine-In Delivery to Seat, "," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",0.0,$16.45,5:15p,THE GRUDGE (2020)3
3,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, Dine-In Delivery to Seat, "," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",0.017241379310344827,$16.45,7:45p,THE GRUDGE (2020)4
4,"Gross USA: $5,350,000",4.2,"R, 1 hr 33 min
Horror",Release Date: 3 January 2020 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, Dine-In Delivery to Seat, "," Director:: Nicolas Pesce, Writers:: Nicolas Pesce, Nicolas Pesce, 2 more credits, Stars:: Tara Westwood, Junko Bailey, David Lawrence Brown, See full cast & crew, ",0.0,$16.45,10:15p,THE GRUDGE (2020)5
5,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, Dine-In Delivery to Seat, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.6057692307692307,$12.53,1:00p,LITTLE WOMEN (2019)1
6,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, Dine-In Delivery to Seat, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.5384615384615384,$15.33,4:15p,LITTLE WOMEN (2019)2
7,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, Dine-In Delivery to Seat, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.14423076923076922,$15.33,7:30p,LITTLE WOMEN (2019)3
8,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, Dine-In Delivery to Seat, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.009615384615384616,$15.33,10:45p,LITTLE WOMEN (2019)4
9,"Gross USA: $40,216,961",6.8,"PG, 1 hr 42 min
Action/Adventure, Animated, Comedy, Family",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, Recliner Seats, Dine-In Delivery to Seat, "," Directors:: Nick Bruno, Troy Quane, Writers:: Brad Copeland, Lloyd Taylor, Stars:: Rachel Brosnahan, Jarrett Bruno, Claire Crosby, See full cast & crew, ",0.07246376811594203,$12.53,1:15p,SPIES IN DISGUISE1
