,Earnings,IMDB rating,Rating Runtime Genre,Release Date,amenities,peopleInolved,percent full,price,time,title
0,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.137524557956778,$7.79,11:30a,LITTLE WOMEN (2019)1
1,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.2082514734774067,$15.49,3:00p,LITTLE WOMEN (2019)2
2,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.08447937131630648,$15.49,6:30p,LITTLE WOMEN (2019)3
3,"Gross USA: $50,863,332",8.3,"PG, 2 hr 15 min
Drama, Romance",Release Date: 25 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: Greta Gerwig, Writers:: Greta Gerwig, Louisa May Alcott, Stars:: Saoirse Ronan, Emma Watson, Florence Pugh, See full cast & crew, ",0.013245033112582781,$15.49,9:45p,LITTLE WOMEN (2019)4
4,"Gross USA: $22,950,935",2.8,"PG, 1 hr 50 min
Drama, Family",Release Date: 20 December 2019 (USA) See more »,," Director:: Tom Hooper, Writers:: T.S. Eliot, Lee Hall, 2 more credits, Stars:: Francesca Hayward, Taylor Swift, Laurie Davidson, See full cast & crew, ",,,,CATS (2019)1
5,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.2994350282485876,$7.79,12:30p,STAR WARS: THE RISE OF SKYWALKER (2019)1
6,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.20118343195266272,$15.49,2:30p,STAR WARS: THE RISE OF SKYWALKER (2019)2
7,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.23163841807909605,$15.49,4:00p,STAR WARS: THE RISE OF SKYWALKER (2019)3
8,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.047337278106508875,$15.49,6:00p,STAR WARS: THE RISE OF SKYWALKER (2019)4
9,"Gross USA: $428,058,441",6.9,"PG-13, 2 hr 35 min
Action/Adventure, Sci-Fi/Fantasy",Release Date: 20 December 2019 (USA) See more »," Reserved seating, Closed caption, Accessibility devices available, 18+ or Accompanied by Adult, "," Director:: J.J. Abrams, Writers:: Chris Terrio, J.J. Abrams, 5 more credits, Stars:: Carrie Fisher, Mark Hamill, Adam Driver, See full cast & crew, ",0.04519774011299435,$15.49,7:30p,STAR WARS: THE RISE OF SKYWALKER (2019)5
