,Money Missed,Open Seats,Rating Runtime Genre,Taken Seats,Time Taken,percent full,price,time,title
0,,,"R, 1 hr 43 min
Action/Adventure, Comedy, Suspense/Thriller",,18:26:04,,,,THE GENTLEMEN1
1,,,"R, 1 hr 43 min
Action/Adventure, Comedy, Suspense/Thriller",,18:26:04,,,,THE GENTLEMEN2
2,,,"R, 1 hr 43 min
Action/Adventure, Comedy, Suspense/Thriller",,18:26:04,,,,THE GENTLEMEN3
3,1055.36,64.0,"R, 1 hr 43 min
Action/Adventure, Comedy, Suspense/Thriller",259.0,18:26:04,0.8018575851393189,$16.49,7:15p,THE GENTLEMEN4
4,4353.36,264.0,"R, 1 hr 43 min
Action/Adventure, Comedy, Suspense/Thriller",59.0,18:26:15,0.1826625386996904,$16.49,10:15p,THE GENTLEMEN5
5,,,"R, 1 hr 50 min
Drama, War",,18:26:26,,,,THE LAST FULL MEASURE1
6,,,"R, 1 hr 50 min
Drama, War",,18:26:26,,,,THE LAST FULL MEASURE2
7,,,"R, 1 hr 50 min
Drama, War",,18:26:26,,,,THE LAST FULL MEASURE3
8,3330.9799999999996,202.0,"R, 1 hr 50 min
Drama, War",16.0,18:26:26,0.07339449541284404,$16.49,8:00p,THE LAST FULL MEASURE4
9,3578.3299999999995,217.0,"R, 1 hr 50 min
Drama, War",1.0,18:26:36,0.0045871559633027525,$16.49,10:45p,THE LAST FULL MEASURE5
10,,,"R, 2 hr 4 min
Action/Adventure, Comedy",,18:26:46,,,,BAD BOYS FOR LIFE1
11,12056.769999999999,473.0,"R, 2 hr 4 min
Action/Adventure, Comedy",47.0,18:26:46,0.09038461538461538,$25.49,10:15p,BAD BOYS FOR LIFE2
12,,,"R, 2 hr 4 min
Action/Adventure, Comedy",,18:26:57,,,,BAD BOYS FOR LIFE3
13,,,"R, 2 hr 4 min
Action/Adventure, Comedy",,18:26:58,,,,BAD BOYS FOR LIFE4
14,4237.929999999999,257.0,"R, 2 hr 4 min
Action/Adventure, Comedy",47.0,18:26:58,0.15460526315789475,$16.49,6:15p,BAD BOYS FOR LIFE5
15,4485.28,272.0,"R, 2 hr 4 min
Action/Adventure, Comedy",32.0,18:27:08,0.10526315789473684,$16.49,9:15p,BAD BOYS FOR LIFE6
16,,,"R, 2 hr 4 min
Action/Adventure, Comedy",,18:27:18,,,,BAD BOYS FOR LIFE7
17,,,"R, 2 hr 4 min
Action/Adventure, Comedy",,18:27:18,,,,BAD BOYS FOR LIFE8
18,4264.889999999999,161.0,"R, 2 hr 4 min
Action/Adventure, Comedy",136.0,18:27:18,0.45791245791245794,$26.49,7:45p,BAD BOYS FOR LIFE9
19,,,"PG, 1 hr 40 min
Action/Adventure, Comedy, Family",,18:27:28,,,,DOLITTLE (2020)1
20,,,"PG, 1 hr 40 min
Action/Adventure, Comedy, Family",,18:27:28,,,,DOLITTLE (2020)2
21,,,"PG, 1 hr 40 min
Action/Adventure, Comedy, Family",,18:27:28,,,,DOLITTLE (2020)3
22,1797.4099999999999,109.0,"PG, 1 hr 40 min
Action/Adventure, Comedy, Family",27.0,18:27:28,0.19852941176470587,$16.49,6:15p,DOLITTLE (2020)4
23,2209.66,134.0,"PG, 1 hr 40 min
Action/Adventure, Comedy, Family",2.0,18:27:39,0.014705882352941176,$16.49,9:00p,DOLITTLE (2020)5
24,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,18:27:49,,,,1917 (2019)1
25,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,18:27:49,,,,1917 (2019)2
26,5429.37,213.0,"R, 1 hr 59 min
Action/Adventure, Drama, War",307.0,18:27:49,0.5903846153846154,$25.49,7:15p,1917 (2019)3
27,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,18:27:59,,,,1917 (2019)4
28,7337.73,277.0,"R, 1 hr 59 min
Action/Adventure, Drama, War",20.0,18:27:59,0.06734006734006734,$26.49,10:45p,1917 (2019)5
29,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,18:28:09,,,,1917 (2019)6
30,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,18:28:09,,,,1917 (2019)7
31,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,18:28:09,,,,1917 (2019)8
32,4023.5599999999995,244.0,"R, 1 hr 59 min
Action/Adventure, Drama, War",98.0,18:28:09,0.28654970760233917,$16.49,8:45p,1917 (2019)9
33,,,"PG-13, 2 hr 16 min
Drama",,18:28:24,,,,JUST MERCY1
34,,,"PG-13, 2 hr 16 min
Drama",,18:28:24,,,,JUST MERCY2
35,1203.77,73.0,"PG-13, 2 hr 16 min
Drama",83.0,18:28:24,0.532051282051282,$16.49,6:45p,JUST MERCY3
36,2407.54,146.0,"PG-13, 2 hr 16 min
Drama",10.0,18:28:34,0.0641025641025641,$16.49,9:45p,JUST MERCY4
37,,,"PG, 2 hr 15 min
Drama, Romance",,18:28:46,,,,LITTLE WOMEN (2019)1
38,,,"PG, 2 hr 15 min
Drama, Romance",,18:28:46,,,,LITTLE WOMEN (2019)2
