,Money Missed,Open Seats,Rating Runtime Genre,Taken Seats,Time Taken,percent full,price,time,title
0,,,"PG, 1 hr 40 min
Action/Adventure, Family",,17:03:38.564149,,,,SONIC THE HEDGEHOG1
1,2504.21,179.0,"PG, 1 hr 40 min
Action/Adventure, Family",8.0,17:03:38.655339,0.0427807486631016,$13.99,5:45p,SONIC THE HEDGEHOG2
2,2434.26,174.0,"PG, 1 hr 40 min
Action/Adventure, Family",13.0,17:03:50.469532,0.06951871657754011,$13.99,8:30p,SONIC THE HEDGEHOG3
3,,,"PG-13, 1 hr 46 min
Drama, Romance",,17:04:01.903164,,,,THE PHOTOGRAPH (2020)1
4,1720.77,123.0,"PG-13, 1 hr 46 min
Drama, Romance",2.0,17:04:01.932204,0.016,$13.99,5:15p,THE PHOTOGRAPH (2020)2
5,1678.8,120.0,"PG-13, 1 hr 46 min
Drama, Romance",5.0,17:04:13.345497,0.04,$13.99,8:00p,THE PHOTOGRAPH (2020)3
6,,,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",,17:04:24.688660,,,,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)1
7,1273.09,91.0,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",9.0,17:04:24.718294,0.09,$13.99,5:45p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)2
8,1077.23,77.0,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",23.0,17:04:35.827978,0.23,$13.99,8:45p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)3
9,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,17:04:46.901565,,,,1917 (2019)1
10,,,"R, 2 hr 12 min
Comedy, Drama, Suspense/Thriller",,17:04:46.996056,,,,PARASITE (2019)1
11,1538.9,110.0,"R, 2 hr 12 min
Comedy, Drama, Suspense/Thriller",5.0,17:04:47.028661,0.043478260869565216,$13.99,5:00p,PARASITE (2019)2
12,1399.0,100.0,"R, 2 hr 12 min
Comedy, Drama, Suspense/Thriller",15.0,17:05:10.273395,0.13043478260869565,$13.99,8:15p,PARASITE (2019)3
