,Money Missed,Open Seats,Rating Runtime Genre,Taken Seats,Time Taken,percent full,price,time,title
0,,,"PG, 1 hr 40 min
Action/Adventure, Family",,16:14:32.597634,,,,SONIC THE HEDGEHOG1
1,2532.19,181.0,"PG, 1 hr 40 min
Action/Adventure, Family",6.0,16:14:33.374894,0.03208556149732621,$13.99,5:45p,SONIC THE HEDGEHOG2
2,2490.2200000000003,178.0,"PG, 1 hr 40 min
Action/Adventure, Family",9.0,16:15:14.441508,0.0481283422459893,$13.99,8:30p,SONIC THE HEDGEHOG3
3,,,"PG-13, 1 hr 46 min
Drama, Romance",,16:15:24.021663,,,,THE PHOTOGRAPH (2020)1
4,1720.77,123.0,"PG-13, 1 hr 46 min
Drama, Romance",2.0,16:15:24.061589,0.016,$13.99,5:15p,THE PHOTOGRAPH (2020)2
5,1678.8,120.0,"PG-13, 1 hr 46 min
Drama, Romance",5.0,16:16:19.330477,0.04,$13.99,8:00p,THE PHOTOGRAPH (2020)3
6,,,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",,16:18:13.399567,,,,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)1
7,1357.03,97.0,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",3.0,16:18:13.934196,0.03,$13.99,5:45p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)2
8,1091.22,78.0,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",22.0,16:19:58.844041,0.22,$13.99,8:45p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)3
9,,,"R, 1 hr 59 min
Action/Adventure, Drama, War",,16:21:40.398410,,,,1917 (2019)1
10,,,"R, 2 hr 12 min
Comedy, Drama, Suspense/Thriller",,16:21:42.284507,,,,PARASITE (2019)1
11,1566.88,112.0,"R, 2 hr 12 min
Comedy, Drama, Suspense/Thriller",3.0,16:21:43.108277,0.02608695652173913,$13.99,5:00p,PARASITE (2019)2
12,1426.98,102.0,"R, 2 hr 12 min
Comedy, Drama, Suspense/Thriller",13.0,16:23:27.549928,0.11304347826086956,$13.99,8:15p,PARASITE (2019)3
