,Money Missed,Open Seats,Rating Runtime Genre,Taken Seats,Time Taken,percent full,price,time,title
0,,,"R, 2 hr 9 min
Drama",,21:05:48.526622,,,,BURDEN (2020)1
1,,,"R, 2 hr 9 min
Drama",,21:05:48.576516,,,,BURDEN (2020)2
2,,,"R, 2 hr 9 min
Drama",,21:05:48.625733,,,,BURDEN (2020)3
3,,,"R, 2 hr 9 min
Drama",,21:05:48.692694,,,,BURDEN (2020)4
4,5623.089999999999,341.0,"R, 2 hr 9 min
Drama",1.0,21:05:48.847001,0.0029239766081871343,$16.49,10:30p,BURDEN (2020)5
5,,,"R, 1 hr 44 min
Comedy, Drama",,21:07:31.184045,,,,GREED (2020)1
6,,,"R, 1 hr 44 min
Comedy, Drama",,21:07:32.947657,,,,GREED (2020)2
7,,,"R, 1 hr 44 min
Comedy, Drama",,21:07:34.255837,,,,GREED (2020)3
8,,,"R, 1 hr 44 min
Comedy, Drama",,21:07:35.036430,,,,GREED (2020)4
9,4930.509999999999,299.0,"R, 1 hr 44 min
Comedy, Drama",5.0,21:07:35.814907,0.01644736842105263,$16.49,10:30p,GREED (2020)5
10,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,21:09:40.595891,,,,THE INVISIBLE MAN (2020)1
11,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,21:09:41.374273,,,,THE INVISIBLE MAN (2020)2
12,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,21:09:41.945479,,,,THE INVISIBLE MAN (2020)3
13,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,21:09:42.602817,,,,THE INVISIBLE MAN (2020)4
14,11878.34,466.0,"R, 2 hr 4 min
Horror, Suspense/Thriller",54.0,21:09:43.259809,0.10384615384615385,$25.49,10:30p,THE INVISIBLE MAN (2020)5
15,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,21:11:47.357231,,,,THE INVISIBLE MAN (2020)6
16,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,21:11:48.298962,,,,THE INVISIBLE MAN (2020)7
17,,,"R, 2 hr 4 min
Horror, Suspense/Thriller",,21:11:48.836190,,,,THE INVISIBLE MAN (2020)8
18,2596.02,98.0,"R, 2 hr 4 min
Horror, Suspense/Thriller",199.0,21:11:49.528093,0.67003367003367,$26.49,9:30p,THE INVISIBLE MAN (2020)9
19,,,"1 hr 44 min
Action/Adventure, Animated",,21:13:51.288039,,,,MY HERO ACADEMIA: HEROES RISING1
20,,,"1 hr 44 min
Action/Adventure, Animated",,21:13:51.901954,,,,MY HERO ACADEMIA: HEROES RISING2
21,,,"1 hr 44 min
Action/Adventure, Animated",,21:13:52.475962,,,,MY HERO ACADEMIA: HEROES RISING3
22,,,"1 hr 44 min
Action/Adventure, Animated",,21:13:53.134039,,,,MY HERO ACADEMIA: HEROES RISING4
23,3612.5,289.0,"1 hr 44 min
Action/Adventure, Animated",34.0,21:13:53.745353,0.10526315789473684,$12.50,9:00p,MY HERO ACADEMIA: HEROES RISING5
24,,,"PG, 2 hr 4 min
Comedy, Drama",,21:15:11.789885,,,,EMMA (2020)1
25,,,"PG, 2 hr 4 min
Comedy, Drama",,21:15:11.820029,,,,EMMA (2020)2
26,,,"PG, 2 hr 4 min
Comedy, Drama",,21:15:11.848976,,,,EMMA (2020)3
27,,,"PG, 2 hr 4 min
Comedy, Drama",,21:15:11.885145,,,,EMMA (2020)4
28,,,"PG, 2 hr 4 min
Comedy, Drama",,21:15:11.915677,,,,EMMA (2020)5
29,,,"PG, 2 hr 4 min
Comedy, Drama",,21:15:11.945363,,,,EMMA (2020)6
30,,,"PG, 2 hr 4 min
Comedy, Drama",,21:15:11.980218,,,,EMMA (2020)7
31,,,"PG, 2 hr 4 min
Comedy, Drama",,21:15:12.010424,,,,EMMA (2020)8
32,5755.009999999999,349.0,"PG, 2 hr 4 min
Comedy, Drama",10.0,21:15:12.039906,0.027855153203342618,$16.49,10:00p,EMMA (2020)9
