,Money Missed,Open Seats,Rating Runtime Genre,Taken Seats,Time Taken,percent full,price,time,title
0,2470.4199999999996,298,"PG, 2 hr 4 min
Comedy, Drama",25,10:15:00.504688,0.07739938080495357,$8.29,10:30a,EMMA (2020)1
1,1409.3,170,"PG, 2 hr 4 min
Comedy, Drama",6,10:15:09.974850,0.03409090909090909,$8.29,11:30a,EMMA (2020)2
2,5787.99,351,"PG, 2 hr 4 min
Comedy, Drama",8,10:15:18.758873,0.022284122562674095,$16.49,1:00p,EMMA (2020)3
3,2671.3799999999997,162,"PG, 2 hr 4 min
Comedy, Drama",14,10:15:27.482863,0.07954545454545454,$16.49,2:30p,EMMA (2020)4
4,5656.07,343,"PG, 2 hr 4 min
Comedy, Drama",16,10:15:36.462865,0.04456824512534819,$16.49,4:00p,EMMA (2020)5
5,2654.89,161,"PG, 2 hr 4 min
Comedy, Drama",15,10:15:45.690089,0.08522727272727272,$16.49,5:30p,EMMA (2020)6
6,3561.8399999999997,216,"PG, 2 hr 4 min
Comedy, Drama",88,10:15:54.446869,0.2894736842105263,$16.49,6:30p,EMMA (2020)7
7,1929.33,117,"PG, 2 hr 4 min
Comedy, Drama",59,10:16:02.986888,0.3352272727272727,$16.49,8:30p,EMMA (2020)8
8,5903.419999999999,358,"PG, 2 hr 4 min
Comedy, Drama",1,10:16:12.176952,0.002785515320334262,$16.49,9:55p,EMMA (2020)9
9,2743.99,331,"R, 2 hr 9 min
Drama",11,10:16:21.189797,0.03216374269005848,$8.29,10:45a,BURDEN (2020)1
10,5524.15,335,"R, 2 hr 9 min
Drama",7,10:16:30.114857,0.02046783625730994,$16.49,1:30p,BURDEN (2020)2
11,5623.089999999999,341,"R, 2 hr 9 min
Drama",1,10:16:38.649891,0.0029239766081871343,$16.49,4:30p,BURDEN (2020)3
12,5573.62,338,"R, 2 hr 9 min
Drama",4,10:16:47.206853,0.011695906432748537,$16.49,7:15p,BURDEN (2020)4
13,5623.089999999999,341,"R, 2 hr 9 min
Drama",1,10:16:56.352544,0.0029239766081871343,$16.49,10:05p,BURDEN (2020)5
14,1732.61,209,"R, 1 hr 44 min
Comedy, Drama",9,10:17:05.185941,0.04128440366972477,$8.29,11:00a,GREED (2020)1
15,3561.8399999999997,216,"R, 1 hr 44 min
Comedy, Drama",2,10:17:14.338854,0.009174311926605505,$16.49,2:00p,GREED (2020)2
16,3512.37,213,"R, 1 hr 44 min
Comedy, Drama",5,10:17:23.416588,0.022935779816513763,$16.49,5:00p,GREED (2020)3
17,3512.37,213,"R, 1 hr 44 min
Comedy, Drama",5,10:17:32.130841,0.022935779816513763,$16.49,7:45p,GREED (2020)4
18,3578.3299999999995,217,"R, 1 hr 44 min
Comedy, Drama",1,10:17:41.221125,0.0045871559633027525,$16.49,10:15p,GREED (2020)5
19,13101.859999999999,514,"R, 2 hr 4 min
Horror, Suspense/Thriller",6,10:17:50.126770,0.011538461538461539,$25.49,12:30p,THE INVISIBLE MAN (2020)1
20,12795.98,502,"R, 2 hr 4 min
Horror, Suspense/Thriller",18,10:17:59.133537,0.03461538461538462,$25.49,3:30p,THE INVISIBLE MAN (2020)2
21,13178.33,517,"R, 2 hr 4 min
Horror, Suspense/Thriller",3,10:18:08.585727,0.0057692307692307696,$25.49,10:00p,THE INVISIBLE MAN (2020)3
22,5029.75,275,"R, 2 hr 4 min
Horror, Suspense/Thriller",22,10:18:17.466867,0.07407407407407407,$18.29,11:00a,THE INVISIBLE MAN (2020)4
23,7417.2,280,"R, 2 hr 4 min
Horror, Suspense/Thriller",17,10:18:28.827039,0.05723905723905724,$26.49,2:00p,THE INVISIBLE MAN (2020)5
24,6622.5,250,"R, 2 hr 4 min
Horror, Suspense/Thriller",47,10:18:38.005859,0.15824915824915825,$26.49,6:00p,THE INVISIBLE MAN (2020)6
25,7496.669999999999,283,"R, 2 hr 4 min
Horror, Suspense/Thriller",14,10:18:47.358849,0.04713804713804714,$26.49,9:00p,THE INVISIBLE MAN (2020)7
26,1326.3999999999999,160,"R, 2 hr 4 min
Horror, Suspense/Thriller",13,10:18:56.285396,0.07514450867052024,$8.29,10:30a,THE INVISIBLE MAN (2020)8
27,4633.69,281,"R, 2 hr 4 min
Horror, Suspense/Thriller",78,10:19:06.122423,0.21727019498607242,$16.49,7:00p,THE INVISIBLE MAN (2020)9
28,3662.5,293,"1 hr 44 min
Action/Adventure, Animated",11,10:19:15.345258,0.03618421052631579,$12.50,12:30p,MY HERO ACADEMIA: HEROES RISING1
29,3775.0,302,"1 hr 44 min
Action/Adventure, Animated",21,10:19:24.514845,0.06501547987616099,$12.50,7:30p,MY HERO ACADEMIA: HEROES RISING2
30,3712.5,297,"1 hr 44 min
Action/Adventure, Animated",7,10:19:32.922848,0.023026315789473683,$12.50,3:30p,MY HERO ACADEMIA: HEROES RISING3
31,3737.5,299,"1 hr 44 min
Action/Adventure, Animated",5,10:19:41.618881,0.01644736842105263,$12.50,9:30p,MY HERO ACADEMIA: HEROES RISING4
