,Money Missed,Open Seats,Rating Runtime Genre,Taken Seats,Time Taken,percent full,price,time,title
0,2532.19,181,"R, 2 hr 4 min
Horror, Suspense/Thriller",6,08:48:22.374550,0.03208556149732621,$13.99,2:30p,THE INVISIBLE MAN (2020)1
1,2560.17,183,"R, 2 hr 4 min
Horror, Suspense/Thriller",4,08:48:34.303582,0.0213903743315508,$13.99,5:30p,THE INVISIBLE MAN (2020)2
2,2140.4700000000003,153,"R, 2 hr 4 min
Horror, Suspense/Thriller",34,08:48:46.346732,0.18181818181818182,$13.99,8:30p,THE INVISIBLE MAN (2020)3
3,1748.75,125,"PG-13, 1 hr 33 min
Comedy",0,08:48:58.184205,0.0,$13.99,2:45p,IMPRACTICAL JOKERS: THE MOVIE1
4,1748.75,125,"PG-13, 1 hr 33 min
Comedy",0,08:49:10.627369,0.0,$13.99,5:15p,IMPRACTICAL JOKERS: THE MOVIE2
5,1720.77,123,"PG-13, 1 hr 33 min
Comedy",2,08:49:21.562879,0.016,$13.99,7:45p,IMPRACTICAL JOKERS: THE MOVIE3
6,1385.01,99,"PG, 1 hr 40 min
Action/Adventure, Family",1,08:49:32.884059,0.01,$13.99,2:15p,SONIC THE HEDGEHOG1
7,1385.01,99,"PG, 1 hr 40 min
Action/Adventure, Family",1,08:49:44.285310,0.01,$13.99,4:45p,SONIC THE HEDGEHOG2
8,1357.03,97,"PG, 1 hr 40 min
Action/Adventure, Family",3,08:49:56.291423,0.03,$13.99,7:30p,SONIC THE HEDGEHOG3
9,1399.0,100,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",0,08:50:08.442420,0.0,$13.99,3:00p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)1
10,1371.02,98,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",2,08:50:20.088874,0.02,$13.99,5:45p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)2
11,1343.04,96,"R, 1 hr 49 min
Action/Adventure, Suspense/Thriller",4,08:50:32.206409,0.04,$13.99,8:45p,BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN)3
12,1608.8500000000001,115,"R, 2 hr 12 min
Comedy, Drama, Suspense/Thriller",0,08:50:43.712168,0.0,$13.99,2:00p,PARASITE (2019)1
13,1608.8500000000001,115,"R, 2 hr 12 min
Comedy, Drama, Suspense/Thriller",0,08:50:55.401849,0.0,$13.99,5:00p,PARASITE (2019)2
14,1538.9,110,"R, 2 hr 12 min
Comedy, Drama, Suspense/Thriller",5,08:51:07.322999,0.043478260869565216,$13.99,8:00p,PARASITE (2019)3
